Tue Mar 17 13:34:13 2026    /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/reports/_support/plan_profile_stage2_seed0_20260317_133407.prof

         2821160 function calls (2743379 primitive calls) in 3.210 seconds

   Ordered by: cumulative time
   List reduced from 1905 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.213    3.213 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:1090(run_stage_trial)
        1    0.000    0.000    2.539    2.539 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:733(plan_pose_rrt)
       45    0.004    0.000    2.500    0.056 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:430(extend_toward)
      842    0.003    0.000    2.472    0.003 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:332(solve_dual_arm_pose_ik)
     1724    0.006    0.000    2.263    0.001 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:269(solve_single_arm_ik)
     1724    2.050    0.001    2.050    0.001 {built-in method pybullet.calculateInverseKinematics}
        1    0.002    0.002    0.572    0.572 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:187(validate_stage_trajectory)
        1    0.000    0.000    0.299    0.299 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/path_validation.py:90(save_validation_plot)
119269/69238    0.029    0.000    0.251    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      802    0.002    0.000    0.196    0.000 /workspace/husky-assembly-teleop/external/husky_assembly_tamp/husky_assembly_tamp/motion_planner/stage1/minimal_rrt.py:302(validate_dual_arm_bar_pose)
     5416    0.010    0.000    0.181    0.000 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/joint.py:89(set_joint_positions)
      772    0.009    0.000    0.177    0.000 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/collision.py:469(collision_fn)
    64992    0.009    0.000    0.171    0.000 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/joint.py:86(set_joint_position)
        1    0.000    0.000    0.168    0.168 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3334(savefig)
        1    0.000    0.000    0.168    0.168 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2049(print_figure)
     4015    0.003    0.000    0.164    0.000 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/kinematics/ik_utils.py:40(is_pose_close)
    64992    0.162    0.000    0.162    0.000 {built-in method pybullet.resetJointState}
     9209    0.003    0.000    0.161    0.000 <__array_function__ internals>:177(allclose)
   102574    0.017    0.000    0.155    0.000 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/collision.py:92(pairwise_link_collision)
     9209    0.004    0.000    0.155    0.000 /opt/venv/lib/python3.10/site-packages/numpy/core/numeric.py:2199(allclose)
     9341    0.003    0.000    0.137    0.000 <__array_function__ internals>:177(isclose)
   102574    0.010    0.000    0.135    0.000 /workspace/husky-assembly-teleop/external/pybullet_planning/src/pybullet_planning/interfaces/robots/collision.py:32(pairwise_link_collision_info)
     9341    0.012    0.000    0.131    0.000 /opt/venv/lib/python3.10/site-packages/numpy/core/numeric.py:2278(isclose)
   102574    0.125    0.000    0.125    0.000 {built-in method pybullet.getClosestPoints}
        2    0.000    0.000    0.117    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/backend_bases.py:2040(<lambda>)
        2    0.000    0.000    0.117    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:434(print_png)
        2    0.000    0.000    0.117    0.059 /opt/venv/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:424(_print_pil)
        2    0.000    0.000    0.109    0.055 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:92(draw_wrapper)
    762/2    0.001    0.000    0.109    0.055 /opt/venv/lib/python3.10/site-packages/matplotlib/artist.py:53(draw_wrapper)
        2    0.000    0.000    0.109    0.055 /opt/venv/lib/python3.10/site-packages/matplotlib/figure.py:3237(draw)


