resolution_label,position_res,rotation_res,stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
pos=0.050m rot=0.100rad,0.05,0.1,1,0,1,1,0.0147,success,0.0,0.0,0.0,1e-06,0.0,2.8e-05,0.000251,0.007606,0.0,0.000522,0.006083,0.0,1.0,18.0,333.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,1,1,1,1,0.0098,success,0.0,0.360217,0.0,0.0,0.0,2.7e-05,0.000209,0.004546,0.0,0.000315,0.004531,0.0,1.0,21.0,362.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,1,2,1,1,0.001,success,0.0,0.0,0.0,0.0,0.0,3.1e-05,2.6e-05,6.3e-05,0.0,4.9e-05,0.000785,0.0,1.0,2.0,62.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,1,3,1,1,0.0006,success,0.0,0.0,0.0,0.0,0.0,1.9e-05,3e-06,2e-05,0.0,3.4e-05,0.000418,0.0,1.0,1.0,33.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,1,4,1,1,0.0225,success,0.0,0.0,0.0,1e-06,0.0,2.9e-05,0.000377,0.013623,0.0,0.000509,0.00785,0.0,1.0,38.0,636.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,0,0,0,0.9847,continuity_failure,0.0,0.0,0.0,1e-06,0.0,4e-05,0.001404,0.011114,0.960484,2.2e-05,0.971531,0.0,1.0,100.0,71.0,169.0,0.0,397.0,128.0,105.0,35.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,1,0,0,0.8067,continuity_failure,0.0,0.0,0.0,1e-06,0.0,1.6e-05,0.00102,0.003581,0.794748,0.0,0.801719,0.0,1.0,100.0,33.0,132.0,0.0,323.0,118.0,73.0,41.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,2,0,0,1.2386,continuity_failure,0.0,0.0,0.0,0.0,0.0,2.7e-05,0.001139,0.015278,1.209059,5.2e-05,1.221647,0.0,1.0,100.0,261.0,355.0,0.0,755.0,94.0,308.0,48.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,3,0,0,1.1002,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.7e-05,0.00109,0.018795,1.065005,2e-05,1.077406,0.0,1.0,100.0,255.0,352.0,0.0,738.0,68.0,318.0,64.0,0.0,0.0,0.0
pos=0.050m rot=0.100rad,0.05,0.1,2,4,1,1,0.5324,success,0.198107,0.198107,0.0,0.0,0.0,1.6e-05,0.000499,0.004772,0.519853,7.7e-05,0.526923,0.0,1.0,38.0,172.0,206.0,0.0,424.0,24.0,194.0,23.0,0.0,0.0,0.0
