stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
1,0,1,1,0.0587,success,0.0,0.0,0.0,1e-06,0.0,4.4e-05,0.000281,0.031047,0.0,0.000586,0.024546,0.0,1.0,18.0,1433.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0.0394,success,0.0,0.074331,0.0,1e-06,0.0,8.3e-05,0.00024,0.019545,0.0,0.000341,0.018918,0.0,1.0,21.0,1610.0,1609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,1,0.0036,success,0.0,0.0,0.0,0.0,0.0,1.7e-05,2.6e-05,0.000199,0.0,4.5e-05,0.003235,0.0,1.0,2.0,272.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,1,0.0017,success,0.0,0.0,0.0,0.0,0.0,3.7e-05,3e-06,2e-05,0.0,3.9e-05,0.001494,0.0,1.0,1.0,127.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1,1,0.0913,success,0.0,0.0,0.0,0.0,0.0,2.9e-05,0.000439,0.056907,0.0,0.000648,0.032879,0.0,1.0,38.0,2730.0,2729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,0,2.5396,collision_failure,0.179201,0.179201,0.0,1e-06,0.0,2.6e-05,0.000778,0.036637,2.458616,7.9e-05,2.500467,0.0,1.0,45.0,799.0,840.0,0.0,1720.0,80.0,800.0,2.0,0.0,0.0,0.0
2,1,1,1,1.9578,success,0.094923,0.094923,0.0,0.0,0.0,2e-05,0.000282,0.010288,1.920518,2.9e-05,1.946739,0.0,1.0,21.0,869.0,887.0,0.0,1791.0,36.0,869.0,1.0,0.0,0.0,0.0
2,2,1,0,2.1054,collision_failure,0.142829,0.142829,0.0,1e-06,0.0,2.7e-05,0.000426,0.018357,2.056447,4.1e-05,2.086145,0.0,1.0,37.0,909.0,942.0,0.0,1915.0,62.0,911.0,3.0,0.0,0.0,0.0
2,3,0,0,3.0866,continuity_failure,0.0,0.0,0.0,0.0,0.0,2.6e-05,0.000582,0.02901,3.018718,2.3e-05,3.055674,0.0,1.0,43.0,1136.0,1175.0,0.0,2387.0,74.0,1138.0,3.0,0.0,0.0,0.0
2,4,0,0,3.0404,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.000698,0.043562,2.956856,3.3e-05,2.99454,0.0,1.0,57.0,1115.0,1167.0,0.0,2386.0,104.0,1115.0,1.0,0.0,0.0,0.0
3,0,1,1,2.2605,success,0.157644,0.157644,0.0,0.010743,0.0,8.4e-05,0.002074,0.050665,1.789059,6.3e-05,2.195641,0.0,1.0,93.0,462.0,552.0,57.0,1132.0,56.0,524.0,6.0,0.0,0.0,0.0
3,1,1,1,1.0237,success,0.094923,0.094923,0.0,0.001276,0.0,2e-05,0.000249,0.005661,0.732111,2.1e-05,1.016279,0.0,1.0,21.0,461.0,480.0,16.0,964.0,8.0,476.0,0.0,0.0,0.0,0.0
3,2,1,1,1.4179,success,0.068671,0.068671,0.0,0.001253,0.0,2e-05,0.000453,0.008399,1.075703,4e-05,1.407356,0.0,1.0,37.0,524.0,558.0,22.0,1127.0,22.0,547.0,2.0,0.0,0.0,0.0
3,3,1,1,2.8277,success,0.186273,0.186273,0.0,0.001262,0.0,1.8e-05,0.000921,0.041431,2.28658,3.5e-05,2.783701,0.0,1.0,84.0,773.0,854.0,47.0,1740.0,64.0,822.0,3.0,0.0,0.0,0.0
3,4,1,1,1.3785,success,0.191905,0.191905,0.0,0.001263,0.0,1.8e-05,0.000462,0.011246,1.062707,2.1e-05,1.365254,0.0,1.0,38.0,474.0,510.0,26.0,1031.0,22.0,499.0,0.0,0.0,0.0,0.0
