stage,seed,path_found,success,runtime_s,category,joint_continuity_max_delta_rad,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections
1,0,1,1,0.0572,success,0.0,1e-06,0.0,3.8e-05,0.000262,0.030751,0.0,0.000539,0.023563,1.0,18.0,1433.0,1432.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0.0397,success,0.074331,0.0,0.0,1.9e-05,0.000243,0.019807,0.0,0.00036,0.018955,1.0,21.0,1610.0,1609.0,0.0,0.0,0.0,0.0,0.0
1,2,1,1,0.0035,success,0.0,1e-06,0.0,1.8e-05,5e-05,0.000193,0.0,4.1e-05,0.003095,1.0,2.0,272.0,271.0,0.0,0.0,0.0,0.0,0.0
1,3,1,1,0.0017,success,0.0,0.0,0.0,2.4e-05,3e-06,3e-05,0.0,2.9e-05,0.001521,1.0,1.0,127.0,126.0,0.0,0.0,0.0,0.0,0.0
1,4,1,1,0.0903,success,0.0,0.0,0.0,1.7e-05,0.000404,0.056476,0.0,0.000576,0.032358,1.0,38.0,2730.0,2729.0,0.0,0.0,0.0,0.0,0.0
2,0,1,0,2.5866,collision_failure,0.179201,1e-06,0.0,2.2e-05,0.00086,0.037214,2.503593,7.7e-05,2.547052,1.0,45.0,799.0,840.0,0.0,1720.0,80.0,800.0,2.0
2,1,1,1,2.363,success,0.094923,0.0,0.0,2.9e-05,0.000553,0.023004,2.309412,3.1e-05,2.338748,1.0,21.0,869.0,887.0,0.0,1791.0,36.0,869.0,1.0
2,2,1,0,2.2756,collision_failure,0.142829,1e-06,0.0,4.6e-05,0.000852,0.019734,2.216577,4e-05,2.254129,1.0,37.0,909.0,942.0,0.0,1915.0,62.0,911.0,3.0
2,3,1,0,7.5618,collision_failure,0.138807,0.0,0.0,2.1e-05,0.001855,0.265871,7.201755,0.00014,7.292917,1.0,162.0,2554.0,2703.0,0.0,5543.0,278.0,2564.0,11.0
2,4,1,0,13.9843,collision_failure,0.177688,0.0,0.0,3.1e-05,0.003951,0.601691,13.230337,0.00016,13.377011,1.0,274.0,3816.0,4075.0,0.0,8405.0,510.0,3820.0,5.0
3,0,1,1,2.4175,success,0.157644,0.001588,0.0,2.4e-05,0.001818,0.053277,1.91707,8.9e-05,2.359321,1.0,93.0,462.0,552.0,57.0,1132.0,56.0,524.0,6.0
3,1,1,1,1.0721,success,0.094923,0.001304,0.0,2.4e-05,0.000322,0.005807,0.766972,3.1e-05,1.064285,1.0,21.0,461.0,480.0,16.0,964.0,8.0,476.0,0.0
3,2,1,1,1.4505,success,0.068671,0.001308,0.0,2e-05,0.000439,0.008382,1.103146,3.4e-05,1.440042,1.0,37.0,524.0,558.0,22.0,1127.0,22.0,547.0,2.0
3,3,1,1,2.8576,success,0.186273,0.001455,0.0,2.4e-05,0.00139,0.04454,2.279214,0.00012,2.809339,1.0,84.0,773.0,854.0,47.0,1740.0,64.0,822.0,3.0
3,4,1,1,1.5432,success,0.191905,0.001319,0.0,2.5e-05,0.000558,0.011683,1.147063,2.8e-05,1.529097,1.0,38.0,474.0,510.0,26.0,1031.0,22.0,499.0,0.0
