seed,stage1_success,stage2_success,stage3_success,stage1_runtime_s,stage2_runtime_s,stage3_runtime_s,stage1_rrt_failed,stage2_rrt_failed,stage3_rrt_failed,stage2_ladder_failed,stage3_ladder_failed,category
0,0,1,0,0.0036,2.9319,33.1034,1,0,0,0,1,task_space_failure
1,1,1,1,0.0085,3.9633,3.3935,0,0,0,0,0,success
2,1,1,0,0.0068,3.1013,33.4334,0,0,0,0,1,collision_failure
3,1,1,0,0.0046,3.2424,41.6111,0,0,0,0,1,collision_failure
4,1,1,1,0.0596,5.5258,3.0274,0,0,0,0,0,success
5,1,1,1,0.0052,3.3992,3.0782,0,0,0,0,0,success
6,1,1,0,0.0071,3.0606,46.4405,0,0,0,0,1,collision_failure
7,1,1,0,0.0385,6.4749,34.5578,0,0,0,0,1,collision_failure
8,1,1,0,0.0072,11.3472,40.9226,0,0,0,0,1,collision_failure
9,1,1,1,0.0109,5.8843,5.6391,0,0,0,0,0,success
